Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
North America,,,,,,,,,,,22700000,23100000,23700000,24000000,24200000,24300000,24300000,24200000,23900000,22000000,24700000,23900000,24200000,23700000,23700000,23000000,22900000,22700000,22200000,21900000,21500000,21600000,22200000,22900000,23500000,23600000,24000000,24400000,24800000,25000000,25100000,25600000,25700000,26400000,26800000,27000000,27200000,27400000,27400000,27200000,26800000,26800000,26900000,26800000,26900000,27100000,27400000,27400000,27500000,27800000,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,49571,51420,56355,59146,62399,73409,84581,92725,101974,103308,104613,108846,110076,116131,124196,135943,138099,140976,144289,148104,151805,158162,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,5132,5238,6080,6563,7240,7960,8862,9993,10671,11675,11945,13523,15477,16854,17745,18351,18889,19417,19663,20151,20673,21908,,,,,,25560,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,6999,7975,9253,11108,12333,14462,18098,22290,27196,32687,38861,44788,45094,47188,,,,58489,65816,68352,76758,76916,80009,,,92608,97675,98978,104933,106182,108033,112033,126137,158343,181641,216961,217378,234029,256555,306675,342391,388641,439160,515075,595426,717660,786582,,,
Nigeria,,,,,,,,,,,356565,395575,451042,516658,,,,745717,904931,1131112,1451242,1864713,2345604,2880280,3393186,3561207,2988174,3088711,,2956376,3125192,,,,,,,,,3844585,4104345,4601105,5124270,,6279562,6397581,6436449,6068160,6888700,7827318,9056768,9591205,10212250,12532753,10495583,11116030,10314796,,,,
Nicaragua,,,,,,,,,,,51383,54690,61084,63177,71044,80202,89823,105429,98874,110726,139743,,136629,157076,143162,128499,137333,154190,159015,161212,184101,221237,228360,238399,249091,265515,,,287217,321493,333210,353724,382951,,416405,437853,448258,470520,462198,,465201,,,,,,,,,,
Netherlands,,,,,,,,,,,,1006327,1062671,1110997,1167463,1210259,1283585,1330981,1361333,1367340,1383602,1391485,1412714,1440242,1466956,1445991,1620011,1589013,1528933,1474792,1436601,1401739,1377768,1369507,1536153,1508772,1479682,1415712,1397055,1364806,1379253,1402928,1397939,1415170,1396696,1410547,1423262,1444057,1460503,1462461,1474983,1538898,1550175,,,1613497,1611016,1650379,1632486,,
Norway,,,,,,,,,,,,302792,307565,331612,330350,331149,326640,330163,334392,346158,355567,360776,368624,381603,383499,388459,387990,378871,370087,365938,375095,370779,367395,380916,408418,370925,364343,368074,369454,377640,371659,369943,373015,385009,400159,403026,412311,419698,423598,425141,435085,437010,432546,442563,439250,443491,444851,447525,449330,,
Nepal,,,,,,,,,,,,,222867,250868,258365,281816,262748,308797,370231,449038,512434,313895,370082,418085,455401,496921,540049,579517,612943,664016,708663,773808,855137,910114,944509,1016443,1121335,,,1265458,1348212,1501503,1690198,1822063,,2054165,1983561,1998990,2305166,2381225,2694256,2850361,3035958,3111257,3163946,3176320,3277231,3336650,,3463763,
Nauru,,,,,,,,,,,,364,400,443,,,,,,,,,,,,482,,,,,,,,,,,,,,,662,636,573,645,508,600,815,689,816,,,,945,,1028,,992,,,1203,
New Zealand,,,,,,,,,,,303835,313107,323850,333352,341506,354107,362430,360444,,356442,352427,350895,351034,360411,359331,354080,348210,343830,343587,341249,340915,345338,350112,376947,404563,420070,430526,433347,432911,436901,443882,456155,482959,503706,503241,526152,522326,526974,514563,542798,512195,508362,501466,492648.125,491617.0313,487363.3438,484412.8125,486333.875,489898.7188,,
OECD members,,,,,,,,,,,71400000,77400000,79600000,82000000,84400000,86100000,88000000,89800000,90800000,90300000,94100000,94500000,95700000,95800000,96500000,96500000,97700000,97900000,97300000,96700000,95700000,95800000,96800000,99100000,101000000,102000000,102000000,98700000,103000000,103000000,104000000,105000000,106000000,108000000,107000000,108000000,108000000,108000000,108000000,108000000,108000000,108000000,108000000,113000000,113000000,113000000,114000000,114000000,114000000,113000000,
Oman,,,,,,,,,,,,0,0,194,419,723,1379,2579,5647,8534,11978,16776,21226,28221,33913,41580,47305,54044,61287,71015,85264,101567,119244,140201,162363,179514,194904,205046,217246,229031,242533,254496,266923,279302,,301568,308508,316019,317816,321670,,301073,300067,292814,,286900,294485,295770,422440,436578,
Other small states,,,,,,,,,,,488123,491448,518829,545967.2,568673.9,588378,608842.6,630524.8,642308.6,655213.3,665381.3,679501.4,699182.8,727912.4,751435.9,775064.9,797230.6,811105.2,830485.2,856884.8,909711.5,961953.5,1001203,1042516,1082147,1146214,1190130,1251234,1282317,1325160,1379559,1435940,1497050,1556794,1632379,1690599,1740793,1784449,1805124,1849081,1883905,1916778,1947506,1966100,1998175,2023901,2049234,2085021,2118272,2154886,
Pakistan,,,,,,,,,,,,1462644,1522177,1629535,1721393,1879538,1935849,2009469,2075725,1974531,2095792,2165832,2253298,2433227,2615156,2811530,2923188,3070965,3216247,3441193,3665079,4345464,5022416,,,,,,,,,,,5734294,6449481,6852316,8421015,9145084,9339991,9432977,9654940,9939407,10371759,10794350,11286628,12077917,12597433,12529168,13357618,13857545,
Panama,,,,,,,,,,,78466,86795,98836,111929,123060,133181,144191,154423,164474,170417,171273,174078,174791,176441,181774,184536,187312,189771,190166,189566,195903,198138,201047,206509,208775,216210,221022,,,230034,234153,244097,251228,,253900,256224,257378,260694,266760,274809,283787,285846,,310391,311816,316899,344790,322913,,,
Peru,,,,,,,,,,,546183,592568,646453,700349,747560,813489,890106,969129,1095085,1151748,1203116,1226130,1249293,1321667,1374770,1427261,1474141,1525039,1578081,1651800,1697943,1710715,1703997,1719854,1833783,1862728,1930917,1963401,2212033,2277813,2374178,2484775,2539682,2347247,2446041,2469618,2539939,2603890,2609081,2659945,2674593,2671275,2611168,2731762,2670847,2681531,2752717,2775348,2779973,2825788,
Philippines,,,,,,,,,,,,1719386,1800684,1875012,1958048,2112176,2291707,2508519,2696460,2820469,2917912,2928525,2935732,3092128,3204551,3323512,3214159,3420921,3494460,3737104,3961639,4033597,4208151,4421649,4590037,4772647,4809863,4888246,5024810,5117459,,5386434,5816699,6069063,6308792,6352482,6301582,6365985,6509273,6766952,,,,,7220389,7319461,7397290,9007148,10562477,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177,1901,,,2271,2273,2382,2494,2448,,,,,,1672,1604,,,,,,
Papua New Guinea,,,,,,,,,,,24365,26273,30812,33774,35868,41391,43004,43246,42950,45041,,49334,50353,,55731,,58226,63391,65582,67007,65643,68506,69596,77665,83252,78759,,,132635,,,,,,,,,,,,,,378365,,,,507278,,,,
Poland,,,,,,,,,,,,3130405,3205757,3214457,3204481,3179666,3093668,3004349,2902489,2801131,2712186,2651041,2554516,2480325,2489165,2546618,2597331,2688295,2809898,2917300,3042754,3119640,3206604,3555919,3665439,3641860,3706526,3882203,3930315,3984047,3988001,3973962,3949993,3895167,3480054,3444903,3316939,3205849,3085019,2958193,2841629,2726279,2611081,2777727,2641287,2548405,2462928,2407618,2392353,,
Pre-demographic dividend,,,,,,,,,,,3440582,3572675,3828519,4111758,4360523,4793605,5189678,5592900,6227777,6963512,7809898,8692857,9356547,10100000,11000000,11600000,11200000,11500000,11700000,11600000,11900000,12400000,12800000,13200000,13800000,14400000,14800000,15100000,15800000,16400000,17500000,19000000,20300000,22000000,24200000,25600000,27200000,28300000,31500000,34600000,37800000,40000000,42500000,46900000,46800000,49000000,49800000,51600000,53600000,,
Puerto Rico,,,,,,,,,,,,274139,281258,289700,301700,303500,299000,294500,,,,,201015,,,,,,,,,,,,,,,,,,,,,,,,,,,301186,290991,271651,269673,269351.5,266077,278964,236001,,218923,,
"Korea, Dem. People’s Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148364,,,,,
Portugal,,,,,,,,,,,,291864,314013,343960,374128,415648,466491,482593,499557,438474,462278,,,,,,580248,658120,578462,586600,600141,670035,759639,898483,938653,945077,947478,,891773,847129,831193,813172,797065,766172,665213,669529,661748,680338,691701,709519,720688,725804,734003,798925,768631,778589,766052,769977,767094,,
Paraguay,,,,,,,,,,,55777,58130,62552,66746,71600,75424,81915,92437,101126,110095,118828,126498,137146,143786,150566,150736,150207,149676,152727,155434,163734,169167,192775,214272,240906,267485,293651,327775,367567,425214,459260,497935,519930,510881,526001,529309,529329,532103,543056,549482,560866,579734,631003,,,,611308,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334000,359169,386928,,444401,477378,510214,544935,582736,628495,656797,685585,701715,707892,713921,710936,705627,705443,706330,709226,721414,733345,752552,764986,787188,
Pacific island small states,,,,,,,,,,,87508.09,92620.41,98614.16,104273.8,111727,117818.3,123239,128251.1,131460.8,135132.3,137742.1,138195.7,141743.7,142384,143361.3,140854.7,141266.2,143320.6,144295.5,145731.4,147587.2,161164.4,169048,173283.7,176939.5,180891.7,183089.3,189573.6,189087.1,193235.3,191192.3,195000.8,203896.6,208170.4,210529.6,209603.6,215839.4,216960.1,221522.3,228292.6,236935,238098.8,235954.1,235415.5,,,,,,,
Post-demographic dividend,,,,,,,,,,,71800000,77400000,79300000,81000000,82900000,84200000,85600000,87000000,87600000,86600000,89900000,89700000,90200000,89800000,89900000,89400000,89900000,89700000,88600000,87500000,86100000,85900000,86000000,87600000,89100000,89100000,89000000,85200000,87500000,87400000,87400000,87800000,87800000,88100000,87400000,87600000,87000000,86500000,86100000,85300000,84800000,83700000,83300000,85000000,84700000,84000000,83700000,83700000,83000000,82400000,
French Polynesia,,,,,,,,,,,,6492,7542,7751,8126,8868,9035,9668,10265,11162,12012,12658,13306,15492,15747,17052,17180,17878,18160,18848,19655,20311,21320,22366,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,4095,4983,6091,6954,7811,10109,10347,11469,12911,14360,15901,17158,18864,19607,20979,22574,22444,24712,26659,28685,30031,31120,35013,36292,37635,38594,,42438,44403,47413,46931,49042,51888,53953,55705,58787,61110,66084,66584,68924,72754,76841,79006,88466,95567,98149,103042,107537,117369,
Romania,,,,,,,,,,,,2138552,2093672,2123652,2086422,,,,,,,,,,,,,,,3125177,3165275,2837948,2606305,2451624,2336322,2252053,2222655,2212090,2199829,2218025,2225691,2248802,2254849,2218124,2154734,2089646,2013016,1954077,1934151,1861830,1821782,1777771,1714307,1669005,1609259,1562960,1515238,1502438,1457948,,
Russian Federation,,,,,,,,,,,,16832000,,,,,15928000,,,,,13297695,,,,,13662298,13987000,14212000,14233000,14273000,14229680,14154465,14079246,14166000,14528000,14883500,15207000,15613400,15862637,,,,14521818,13558904,12433155,11548337,10797816,10087007,9613548,,9206247,9165252,9092027,9061324,9384610,9566901,9905067,10242404,,
Rwanda,,,,,,,,,,,,13752,,,,,19936,21890,23903,25601,72216,110314,118877,132998,140478,156347,162031,169355,176217,193154,195709,200628,171866,,,,,,,105292,129620,141163,157289,179153,203551,218517,239629,266518,288036,346518,425587,486442,534712,581962,587069,567838,572324,610972,658285,732104,
South Asia,,,,,,,,,,,25500000,26200000,27200000,28300000,29200000,30200000,30900000,32200000,33300000,35100000,37400000,39300000,41800000,45300000,48100000,50400000,52800000,53900000,55200000,56800000,60900000,66100000,71400000,76400000,79300000,81300000,83600000,86600000,87100000,86900000,91300000,93200000,97600000,103000000,106000000,112000000,116000000,121000000,127000000,128000000,136000000,143000000,150000000,152000000,163000000,165000000,169000000,167000000,170000000,170000000,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,296340,,,,,,,,,,,,,,,,,,,,,,,,,,2609567,,2826049,,2997268,,,,,,3319742,3160633,3039012,3108384,3159358,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087137,1107297,1176361,1316023,1344324,1318122,1327933,1442104,1636033,1687356,1530820,1723688,1870767,1974312,2059715,2041258,2205034,,,
Senegal,,,,,,,,,,,,59401,65573,,,,,,85974,83711,87755,95604,103821,109937,113561,121496,130338,137353,146310,162341,173044,,191431,,,,208786,211558,216066,234189,249547,260738,289263,,360016,405899,447425,,582101,,725208,848030,945792,1025089,1094751,1136477,,,,1149844,
Singapore,,,,,,,,,,,149143,155719,,178538,178673,183364,189743,187034,187713,188534,187532,191480,193206,199475,203936,211489,226526,230206,231359,229420,220561,214584,210304,205683,210473,213138,,,,,,,,,,,,232100,231144,232003,,,,,,,179225,171319,166709,,
Solomon Islands,,,,,,,,,,,1400,1720,1943,2310,,2014,2725,3179,3468,3654,4030,5004,5542,5837,,,6615,,,,5636,6363,6666,7351,7811,,,,,16576,13527,16480,21700,,,22487,26345,27332,,,39706,40124,41660,,,,,,,,
Sierra Leone,,,,,,,,,,,,34646,37550,41787,45210,47861,50478,53913,56480,60157,59719,68199,,,92706,101056,94717,,112787,100026,101726,102474,,,,,,,,,,155567,,,,,,,,,,352732,400800,417307,,449320,487826,492140,,,
El Salvador,,,,,,,,,,,88307,88635,106465,127381,154138,170576,187682,197732,213272,229751,211302,,,232494,238320,,,,277683,277980,,285452,304735,326237,,,,,401545,405998,420959,435571,461215,488515,520332,524202,529057,536017,539277,555645,577111,597823,611515,636553,625060,599947,571919,535680,521576,,
San Marino,,,,,,,,,,,,901,988,1087,1115,1140,1211,1221,1209,1197,1228,1219,1354,1317,1266,1260,1248,1222,1207,1193,1204,1182,1158,1159,1157,,1199,1192,,,988,,,,,,,,2223,2286,2334,2368,2407,,,,,,1653,1674,
Somalia,,,,,,,,,,,,14759,16856,19638,22896,,31857,12389,12869,18416,22691,103150,102428,100396,100199,94275,88471,,,,,,,,,,,,,,,,,,,,,86929,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744139,713167,691098,671980,657945,640948,632338,622809,615135,608456,603834,590830,575948,565869,557425,548158,553448,545419,538238,534106,528758,
Sub-Saharan Africa (excluding high income),,,,,,,,,,,5363188,5534773,5827345,6140573,6407701,6852502,7297318,7726963,8327525,9010680,9890798,10900000,11800000,12900000,14000000,14800000,14600000,15100000,15500000,15500000,16100000,16800000,17200000,17800000,18500000,19400000,20200000,20800000,21900000,22700000,23800000,25700000,27300000,29100000,31500000,33200000,35200000,36800000,39900000,43000000,46400000,49100000,51900000,56500000,56400000,58700000,59500000,61200000,63100000,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133999,,,,164135,,,,,
Sub-Saharan Africa,,,,,,,,,,,5412805,5585863,5883915,6201178,6473494,6921393,7369651,7810862,8413846,9099075,9978487,11000000,11900000,13000000,14100000,14800000,14600000,15200000,15600000,15600000,16200000,16900000,17300000,17900000,18600000,19500000,20300000,20900000,22000000,22800000,23900000,25800000,27400000,29200000,31600000,33400000,35300000,36900000,40000000,43100000,46600000,49200000,52000000,56600000,56600000,58900000,59700000,61300000,63200000,,
Small states,,,,,,,,,,,941613.8,955274.6,1009744,1057228,1091893,1175525,1231485,1274116,1303758,1331011,1363626,1356706,1378960,1410683,1432912,1466555,1496668,1514627,1541752,1558276,1615979,1687084,1732449,1769931,1832047,1923345,1996251,2083288,2036060,2093656,2152776,2219131,2285955,2345990,2437668,2500932,2564749,2614969,2645568,2697811,2737401,2772089,2783780,2782487,2807534,2819722,2852602,2877905,2906972,2948586,
Sao Tome and Principe,,,,,,,,,,,,1669,1901,,,,4010,3829,,,,3815,4878,6303,6605,,,5255,6452,,,,,,,,,,,,,,,6753,7423,8091,,8997,8518,9726,10097,11884,14061,16118,19386,22123,23232,25875,,,
Suriname,,,,,,,,,,,,23504,23718,26405,27754,29532,30603,32247,34121,34372,35742,24027,30057,29905,29843,34608,37630,35878,34951,34248,33289,33561,35535,30016,,,,,,,,41874,42253,,,45818,46725,47235,48134,47221,50164,49563,50868,52109,51784,54721,,,58408,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657010,658228,663647,669898,662896,681227,674405,671670,663555,666238,669578,673712,662659,640120,617109,591482,568629,549760,530300,509791,481574,464957,454032,446922,441619,441952,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,137241,160309,180955,191864,193555,195007,198432,201491,205910,208905,210699,211426,211739,214042,212038,212458,210078,220033,218251,224747,220804,217587,187817,181299,174330,152720,147463,142349,138354,134861,132221,147563,145179,143247,148896,147920,147003,,
Sweden,,,,,,,,,,,,554480,493136,554295,528765,531594,507642,513287,536287,575190,591019,606833,606152,607288,604067,596104,624835,616312,619860,609233,597971,588474,585527,755649,778838,791848,809653,829295,930748,946209,933669,928424,934608,917978,711798,735494,750567,760491,764264,751826,731273,698968,675782,838671,826694,844112,856094,916224,934541,,
Eswatini,,,,,,,,,,,8438,9475,11219,13043,14964,16876,17868,19762,20990,22495,23665,,,,,31109,,,,,,,51864,50634,52966,55286,57715,,60830,61551,60253,61335,62676,62214,67696,70964,76979,82835,,83089,88619,90605,91914,93461,97229,100494,108288,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981,,2713,,,,,,
Seychelles,,,,,,,,,,,2359,2622,2913,3199,3778,3778,3272,,4622,5143,5763,6640,7741,8108,8538,8665,8642,8750,8868,8828,,9020,9182,9111,9280,8931,9099,,8027,8317,8280,7514,7826,8137,7962,8501,7794,8227,7911,7825,7554,7113,7780,7355,7277,7394,7423,7362,7459,7325,
Syrian Arab Republic,,,,,,,,,,,,327639,367298,406102,437997,458327,488409,512187,545468,579739,588865,604327,635355,687435,755095,815071,870383,912117,925381,933661,923532,914250,902819,916950,923030,928882,935048,957664,1000549,1029769,1069040,1124752,1182424,2119690,2249116,2389383,2464688,2549444,2626228,2664335,2731825,2820911,2875612,1857140,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,227,,354,467,639,671,671,711,,,691,,,,707,,,,,,,,,1032,,,,,1114,1089,,,1270,1386,1558,,,,2095,,,,,1811,2013,,,2316,,
Chad,,,,,,,,,,,,10556,11625,,12731,14195,16391,19580,,,,,,,,45612,,44379,,49439,58570,,,,73666,85836,93026,99789,112964,123408,137269,165926,184996,212632,227856,245286,262714,314470,369812,421686,430383,456548,458034,525219,508730,513248,535112,507074,511841,537388,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,28900000,35600000,41100000,46400000,45800000,48800000,58200000,72700000,83000000,82200000,76900000,74200000,68300000,66500000,66900000,70500000,73900000,78100000,79700000,78700000,76300000,77400000,79500000,81900000,83700000,89200000,96000000,102000000,108000000,113000000,118000000,124000000,129000000,136000000,141000000,142000000,143000000,146000000,146000000,146000000,145000000,144000000,143000000,143000000,139000000,138000000,136000000,138000000,141000000,143000000,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,41300000,41800000,42300000,42600000,42500000,42400000,42000000,41400000,40800000,40000000,39400000,38800000,38600000,38800000,39200000,40000000,41000000,41700000,42400000,42800000,43100000,43100000,42900000,43000000,43000000,43700000,44100000,44700000,45200000,46200000,46800000,47700000,47800000,47200000,45100000,43300000,42300000,41200000,39600000,38900000,38400000,38000000,37300000,39700000,39600000,39300000,39400000,40000000,40400000,41000000,
Togo,,,,,,,,,,,,22003,27255,31288,37546,48415,64404,81169,96065,113730,127894,,130366,119106,101989,91207,97120,98490,115390,110318,127704,125545,127831,,134559,153348,169481,178254,,231948,258677,288347,329307,354965,375385,404470,430064,408964,,,,545861,,,,,,727949,,,
Thailand,,,,,,,,,,,,695023,772704,868885,982295,1066486,1193741,1324539,1386136,1737923,1805708,1919967,1990866,,2191713,2249780,2243373,2184850,2108964,2083237,2117903,2230403,2444092,2717672,3044069,3382755,3794290,3925923,4097331,,,4072108,4150184,,4253380,4533173,4530029,4789339,4728761,4769211,4807093,4892517,4785810,4655351,6791615,6757174,6570988,6335213,6265551,6019229,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829479,830302,786964,702375,724056,,,,768903,795380,847445,899236,948341,973673,984410,998928,1012275,1019250,1023371,1031723,1045185,1054808,1062975,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706547,
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,,,10400000,11300000,12900000,14300000,17000000,18300000,20000000,21500000,22600000,34100000,35100000,36000000,37000000,37900000,38900000,27700000,40700000,41500000,42300000,43000000,43800000,44800000,45900000,46600000,47700000,49000000,50300000,50800000,53300000,53600000,55500000,55900000,56900000,55600000,57100000,57600000,57800000,57700000,58600000,59400000,60100000,60500000,60600000,63300000,63200000,62900000,63300000,63100000,63000000,63200000,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44459,52785,58603,73005,74822,,,78655,96067,101501,107859,111422,112021,118935,129314,140462,149883,155832,161660,
Middle East & North Africa (IDA & IBRD countries),,,,,,,,,,,4415800,4535826,5210263,5640808,6116242,6799370,7517572,8244841,9248044,9844807,10400000,10900000,11500000,12000000,12700000,13400000,14400000,15100000,15800000,16400000,18100000,18600000,19100000,20300000,22000000,22900000,23700000,25100000,26500000,27800000,28800000,29600000,30100000,31200000,31600000,31300000,31100000,30700000,30700000,30800000,30700000,31800000,31800000,29800000,29200000,29400000,29800000,30100000,30500000,31200000,
Tonga,,,,,,,,,,,10159,10455,10371,10552,11052,11351,,,12795,,,16566,17085,16822,17009,15232,13587,,,,14749,14825,,16570,,,,,13661,14710,14524,14127,14567,15743,14032,,13938,14580,14632,14676,14777,14874,14784,14840,14961,15800,,,,,
South Asia (IDA & IBRD),,,,,,,,,,,25500000,26200000,27200000,28300000,29200000,30200000,30900000,32200000,33300000,35100000,37400000,39300000,41800000,45300000,48100000,50400000,52800000,53900000,55200000,56800000,60900000,66100000,71400000,76400000,79300000,81300000,83600000,86600000,87100000,86900000,91300000,93200000,97600000,103000000,106000000,112000000,116000000,121000000,127000000,128000000,136000000,143000000,150000000,152000000,163000000,165000000,169000000,167000000,170000000,170000000,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,,,,5412805,5585863,5883915,6201178,6473494,6921393,7369651,7810862,8413846,9099075,9978487,11000000,11900000,13000000,14100000,14800000,14600000,15200000,15600000,15600000,16200000,16900000,17300000,17900000,18600000,19500000,20300000,20900000,22000000,22800000,23900000,25800000,27400000,29200000,31600000,33400000,35300000,36900000,40000000,43100000,46600000,49200000,52000000,56600000,56600000,58900000,59700000,61300000,63200000,,
Trinidad and Tobago,,,,,,,,,,,,52639,54927,54584,,,,77362,,,,87700,91455,91374,92781,92752,95302,97444,99615,98741,99850,97493,97804,100278,,,,,,,,,,,105381,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,191445,196979,196033,196307,196447,201845,213046,232856,250197,264392,275696,312033,355161,387445,419337,457630,459034,480245,530004,546953,564540,589674,639403,717156,783169,849359,882730,989491,1058877,1104095,1143082,1169368,1158972,1210012,1239468,1247046,1268219,1259240,1201632,1163833,1152153,,1071729,1019908,1007951,1047035,,,,
Turkey,,,,,,,,,,,,1308779,1429654,1489759,1516880,,1746160,1887524,2028476,2074796,2225533,2217909,2310113,2393477,2540636,,2927692,3088483,3288309,3512135,3620982,3808142,3987423,4299810,4476086,4725551,,4760892,,5522936,5658333,6419272,6736387,6851036,6585557,6345057,6631883,6822949,6708970,7100959,7530640,7965619,7757880,10562609,10898577,10969178,11019149,11404385,11279561,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,830,,,912,,,,,,,,,,,,,1201,1289,1123,,1089,682,
Tanzania,,,,,,,,,,,44941,47570,48440,51991,59406,62031,66094,70944,74126,77868,78715,75051,77246,80623,83004,95915,104656,116347,132282,146428,,184403,191651,198421,204258,211425,213346,236886,,,,,,,,,,,,,1825956,,,,1947349,1774383,1807674,1920524,2148466,2338457,
Uganda,,,,,,,,,,,48221,,,52670,53586,55263,66986,70647,74032,77929,86560,94614,145389,133393,162005,179483,213733,242727,262735,,267517,256194,256669,261762,275590,292321,,294418,,,,,,,732792,,,1031520,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,4754924,4718500,4743000,4745500,4777300,4823500,,4893900,,4843900,4773700,4731700,4701000,4731200,,,,,5214106,5204485,5123602,4982947,4824077,4445974,4042827,3896263,3708736,3498524,3288557,3132972,2925709,2899116,2803364,2713646,2370298,2325864,2334978,2376848,2444548,
Upper middle income,,,,,,,,,,,62900000,70500000,78100000,84800000,87000000,91300000,102000000,117000000,129000000,138000000,134000000,131000000,126000000,125000000,127000000,120000000,137000000,143000000,146000000,146000000,145000000,147000000,150000000,154000000,157000000,164000000,173000000,180000000,188000000,195000000,202000000,208000000,213000000,217000000,221000000,221000000,222000000,224000000,223000000,223000000,222000000,222000000,220000000,224000000,221000000,220000000,218000000,218000000,220000000,222000000,
Uruguay,,,,,,,,,,,168083,173262,181498,188036,188373,182195,183912,180418,176167,172969,,188123,190053,197890,207663,213774,224134,229085,243135,252935,265947,276482,272622,266840,263180,263616,269826,,275090,283838,303883,315968,332175,343617,339057,323087,323027,294852,281593,288491,321397,331659,335126,337609,339221,339740,347841,356952,355851,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24229776,24417186,24707908,24787964,24871356,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,2879300,,,,,3115000,,,3170300,3186300,3194600,3225500,3194000,3218800,3318900,,,,3410955,3565979,,,4258787,4338358,4515852,4542174,4598037,4497372,4506226,4448978,4370300,4335596,4195583,4082709,3964383,3908744,3892888,3949245,4073028,
St. Vincent and the Grenadines,,,,,,,,,,,,3158,4009,,4995,4878,5084,,,,,,8058,,7473,6160,6782,8785,7237,,,10719,,,,,,,,,9679,9756,9920,9624,10398,9780,,11238,11641,11704,11426,10927,10419,10394,10342,10286,10117,10113,9808,,
"Venezuela, RB",,,,,,,,,,,,425146,480950,533653,584211,631210,715848,774829,812965,853754,889964,918111,945939,985422,1014541,1061139,1092833,1112093,1129246,1138916,1164868,1200397,1248018,1286046,,,,,,1439122,1543425,1677807,1811127,1866114,1953506,2028388,2104857,2174619,2224214,2252421,2254935,2287393,2354412,2574580,2567278,2522661,2427635,2391174,,,
British Virgin Islands,,,,,,,,,,,,865,850,745,790,796,821,,,814,,791,,,1323,1078,,,,,1094,1124,1134,,1309,,,,,1511,1513,1562,1593,1633,1707,1882,1959,1921,,1942,2029,1923,1955,1977,1987,2027,2034,2255,1731,,
Virgin Islands (U.S.),,,,,,,,,,,,6500,7100,9291,9340,9160,10590,11799,11000,10700,12000,11326,12828,13414,13881,14274,13548,13400,13200,13100,12900,12700,12600,12502,12600,12700,,12900,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,2987997,3200912,,,3884428,,,,,,,,,,3651719,,,,,,,,6818774,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,784,878,980,1089,1295,1505,1788,2127,2284,,2426,2480,,2904,,,,,,3369,,4184,,,,,,,,8989,10446,10934,12313,12800,13837,,,,,,20256,,,,,20568,,,,,
