Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Mountain High,Sierra Nevada,California,8200,1600,6600,0,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,150.0,73.0,21,0.05314811064920341,12.828736369467608,0.01117619855094805,0.04309715120525932,0.012345679012345678,0.12436115843270869,0.23728813559322035,0.04827586206896552,0.03389830508474576,0.006896551724137931
Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,0,0,0,0,4,0,4,26.0,,2.5,400.0,80.0,175.0,67.0,178.0,69.0,200.0,,21,0.05314811064920341,12.828736369467608,0.015415446277169724,0.06391526661796933,,,0.15384615384615385,0.01,0.0,0.0
Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,144.0,,21,0.05314811064920341,12.828736369467608,0.05395406197009404,0.05113221329437546,0.012345679012345678,,0.24444444444444444,0.007857142857142858,0.0,0.0
Snow Valley,Sierra Nevada,California,7841,1041,6800,0,0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,111.0,82.0,160.0,79.0,143.0,164.0,21,0.05314811064920341,12.828736369467608,0.009249267766301835,0.04054054054054054,0.07407407407407407,0.27938671209540034,0.42857142857142855,0.05,0.0,0.0
Soda Springs,Sierra Nevada,California,7352,652,6700,0,0,0,0,1,1,2,4,18.0,,0.4,200.0,20.0,150.0,83.0,400.0,50.0,144.0,,21,0.05314811064920341,12.828736369467608,0.007707723138584862,0.0547845142439737,,,0.2222222222222222,0.02,0.0,0.0
Sugar Bowl Resort,Sierra Nevada,California,8383,1500,6883,1,0,5,3,1,0,2,12,105.0,3.0,3.0,1650.0,375.0,151.0,80.0,500.0,125.0,150.0,,21,0.05314811064920341,12.828736369467608,0.06358871589332511,0.05514974433893353,0.037037037037037035,,0.11428571428571428,0.007272727272727273,0.047619047619047616,0.0030303030303030303
Tahoe Donner,Sierra Nevada,California,7350,600,6750,0,0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,,150.0,48.0,400.0,69.0,144.0,,21,0.05314811064920341,12.828736369467608,0.004624633883150917,0.0547845142439737,0.024691358024691357,,0.35714285714285715,0.041666666666666664,0.0,0.0
Arapahoe Basin Ski Area,Colorado,Colorado,13050,2530,10780,0,0,1,2,1,2,3,9,145.0,3.0,1.5,1428.0,125.0,230.0,73.0,350.0,85.0,233.0,,22,0.3820282784277661,21.13474359713336,0.032690810860308596,0.07059545733578883,0.04054054054054054,,0.06206896551724138,0.0063025210084033615,0.006896551724137931,0.0007002801120448179
Aspen / Snowmass,Colorado,Colorado,12510,4406,8104,3,1,15,4,3,5,9,40,336.0,10.0,5.3,5517.0,658.0,138.0,72.0,300.0,179.0,138.0,,22,0.3820282784277661,21.13474359713336,0.12629916212627626,0.0423572744014733,0.13513513513513514,,0.11904761904761904,0.0072503172013775605,0.044642857142857144,0.0027188689505165853
Copper Mountain Resort,Colorado,Colorado,12313,2738,9712,1,2,4,0,4,4,9,24,150.0,6.0,1.7,2527.0,364.0,164.0,47.0,300.0,158.0,164.0,,22,0.3820282784277661,21.13474359713336,0.05784991529691864,0.05033763044812769,0.08108108108108109,,0.16,0.009497427779976256,0.02666666666666667,0.0015829046299960427
Purgatory,Colorado,Colorado,10822,2029,8793,0,1,2,0,3,3,3,12,101.0,9.0,1.3,1605.0,250.0,130.0,54.0,260.0,89.0,130.0,,22,0.3820282784277661,21.13474359713336,0.03674282313080903,0.03990178023327195,0.12162162162162163,,0.1188118811881188,0.007476635514018692,0.019801980198019802,0.0012461059190031153
Howelsen Hill,Colorado,Colorado,7136,440,6696,0,0,0,0,0,1,3,4,17.0,1.0,6.0,50.0,25.0,100.0,104.0,150.0,25.0,100.0,10.0,22,0.3820282784277661,21.13474359713336,0.0011446362346046427,0.030693677102516883,0.013513513513513514,0.02336448598130841,0.23529411764705882,0.08,0.0,0.0
Loveland,Colorado,Colorado,13010,2210,10800,0,0,1,3,3,2,1,10,94.0,1.0,2.0,1800.0,240.0,205.0,82.0,422.0,79.0,184.0,,22,0.3820282784277661,21.13474359713336,0.041206904445767134,0.06292203806015961,0.013513513513513514,,0.10638297872340426,0.005555555555555556,0.010638297872340425,0.0005555555555555556
Monarch Mountain,Colorado,Colorado,11952,1162,10790,0,0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,,143.0,80.0,350.0,89.0,136.0,,22,0.3820282784277661,21.13474359713336,0.018314179753674283,0.04389195825659914,0.02702702702702703,,0.109375,0.00875,0.0,0.0
Powderhorn,Colorado,Colorado,9850,1650,8200,0,0,1,0,0,2,2,5,42.0,2.0,1.5,1600.0,42.0,111.0,53.0,250.0,71.0,110.0,,22,0.3820282784277661,21.13474359713336,0.036628359507348565,0.03406998158379374,0.02702702702702703,,0.11904761904761904,0.003125,0.023809523809523808,0.000625
Silverton Mountain,Colorado,Colorado,13487,3087,10400,0,0,0,0,0,1,0,1,,,1.5,1819.0,,175.0,17.0,400.0,79.0,181.0,,22,0.3820282784277661,21.13474359713336,0.041641866214916896,0.053713934929404544,,,,0.0005497526113249038,,0.0
Cooper,Colorado,Colorado,11700,1200,10500,0,0,0,0,1,1,2,4,41.0,1.0,1.0,400.0,,130.0,74.0,260.0,56.0,130.0,,22,0.3820282784277661,21.13474359713336,0.009157089876837141,0.03990178023327195,0.013513513513513514,,0.0975609756097561,0.01,0.0,0.0
Ski Granby Ranch,Colorado,Colorado,9202,1000,8202,0,0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,92.0,100.0,22,0.3820282784277661,21.13474359713336,0.009294446224989698,0.03560466543891958,0.013513513513513514,0.2336448598130841,0.125,0.012315270935960592,0.05,0.0049261083743842365
Sunlight Mountain Resort,Colorado,Colorado,9895,2010,7885,0,0,0,0,1,2,0,3,67.0,1.0,2.5,680.0,30.0,100.0,53.0,250.0,65.0,135.0,,22,0.3820282784277661,21.13474359713336,0.01556705279062314,0.030693677102516883,0.013513513513513514,,0.04477611940298507,0.004411764705882353,0.0,0.0
Telluride,Colorado,Colorado,13150,4425,8725,2,0,6,1,2,2,4,17,148.0,3.0,4.6,2000.0,220.0,131.0,47.0,280.0,139.0,137.0,,22,0.3820282784277661,21.13474359713336,0.0457854493841857,0.040208717004297116,0.04054054054054054,,0.11486486486486487,0.0085,0.04054054054054054,0.003
Wolf Creek Ski Area,Colorado,Colorado,11904,1604,10300,0,0,3,1,2,1,3,10,120.0,,2.0,1600.0,5.0,130.0,80.0,430.0,72.0,150.0,,22,0.3820282784277661,21.13474359713336,0.036628359507348565,0.03990178023327195,,,0.08333333333333333,0.00625,0.025,0.001875
Mohawk Mountain,Connecticut,Connecticut,1600,650,950,0,0,0,0,5,0,3,8,25.0,,1.5,107.0,100.0,,72.0,92.0,65.0,110.0,64.0,5,0.14024151833321272,90.20386072523904,0.2988826815642458,,,0.25,0.32,0.07476635514018691,0.0,0.0
Mount Southington Ski Area,Connecticut,Connecticut,525,425,100,0,0,0,0,2,2,3,7,14.0,2.0,0.3,51.0,51.0,63.0,55.0,80.0,60.0,95.0,51.0,5,0.14024151833321272,90.20386072523904,0.1424581005586592,0.17847025495750707,0.2,0.19921875,0.5,0.13725490196078433,0.0,0.0
Powder Ridge Park,Connecticut,Connecticut,720,550,170,0,0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,55.0,100.0,40.0,5,0.14024151833321272,90.20386072523904,0.22346368715083798,0.22662889518413598,0.4,0.15625,0.2631578947368421,0.0625,0.0,0.0
Ski Sundown,Connecticut,Connecticut,1075,625,450,0,0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,95.0,66.0,5,0.14024151833321272,90.20386072523904,0.19553072625698323,0.23796033994334279,0.2,0.2578125,0.3125,0.07142857142857142,0.0,0.0
Woodbury Ski Area,Connecticut,Connecticut,730,300,430,0,0,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,180.0,35.0,5,0.14024151833321272,90.20386072523904,0.13966480446927373,0.35694050991501414,0.2,0.13671875,0.4166666666666667,0.1,0.0,0.0
Bogus Basin,Idaho,Idaho,7582,1800,5800,0,0,3,0,1,3,4,11,91.0,3.0,1.5,2600.0,,134.0,77.0,250.0,64.0,130.0,165.0,12,0.6714920833881253,14.359391640440833,0.15857526225908758,0.11795774647887323,0.1111111111111111,0.39759036144578314,0.12087912087912088,0.004230769230769231,0.03296703296703297,0.001153846153846154
Brundage Mountain Resort,Idaho,Idaho,7640,1800,5840,0,0,1,0,4,0,1,6,51.0,2.0,3.2,1920.0,2.0,126.0,58.0,320.0,70.0,,,12,0.6714920833881253,14.359391640440833,0.11710173212978775,0.11091549295774648,0.07407407407407407,,0.11764705882352941,0.003125,0.0196078431372549,0.0005208333333333333
Kelly Canyon Ski Area,Idaho,Idaho,6600,1000,5600,0,0,0,0,0,4,2,6,51.0,1.0,1.3,740.0,,,62.0,200.0,42.0,,,12,0.6714920833881253,14.359391640440833,0.0451329592583557,,0.037037037037037035,,0.11764705882352941,0.008108108108108109,0.0,0.0
Lookout Pass Ski Area,Idaho,Idaho,5650,1150,4500,0,0,0,0,1,3,0,4,35.0,2.0,1.5,540.0,,113.0,84.0,400.0,47.0,140.0,,12,0.6714920833881253,14.359391640440833,0.032934862161502806,0.0994718309859155,0.07407407407407407,,0.11428571428571428,0.007407407407407408,0.0,0.0
Magic Mountain Ski Area,Idaho,Idaho,7200,700,6500,0,0,0,0,0,1,2,3,11.0,,1.5,280.0,,65.0,81.0,180.0,32.0,70.0,,12,0.6714920833881253,14.359391640440833,0.017077335935594046,0.05721830985915493,,,0.2727272727272727,0.010714285714285714,0.0,0.0
Pebble Creek Ski Area,Idaho,Idaho,8560,2200,6360,0,0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,91.0,30.0,12,0.6714920833881253,14.359391640440833,0.0670895340326909,0.07482394366197183,0.07407407407407407,0.07228915662650602,0.05555555555555555,0.0027272727272727275,0.0,0.0
Schweitzer,Idaho,Idaho,6400,2400,4000,0,1,2,0,1,3,2,9,92.0,3.0,2.1,2900.0,47.0,136.0,56.0,300.0,81.0,,100.0,12,0.6714920833881253,14.359391640440833,0.17687240790436692,0.11971830985915492,0.1111111111111111,0.24096385542168675,0.09782608695652174,0.003103448275862069,0.021739130434782608,0.000689655172413793
Silver Mountain,Idaho,Idaho,6300,2200,4100,1,0,0,1,2,2,1,7,80.0,2.0,2.5,1600.0,225.0,130.0,29.0,300.0,62.0,193.0,20.0,12,0.6714920833881253,14.359391640440833,0.09758477677482313,0.11443661971830986,0.07407407407407407,0.04819277108433735,0.0875,0.004375,0.0,0.0
Soldier Mountain Ski Area,Idaho,Idaho,7200,1400,5800,0,0,0,0,0,2,1,3,36.0,,0.4,1142.0,,60.0,71.0,,43.0,,,12,0.6714920833881253,14.359391640440833,0.06965113442303,0.0528169014084507,,,0.08333333333333333,0.002626970227670753,0.0,0.0
Tamarack Resort,Idaho,Idaho,7700,2800,4900,0,0,2,2,0,0,2,6,48.0,3.0,1.5,1020.0,200.0,,15.0,300.0,71.0,150.0,,12,0.6714920833881253,14.359391640440833,0.062210295193949744,,0.1111111111111111,,0.125,0.0058823529411764705,0.041666666666666664,0.00196078431372549
Chestnut Mountain Resort,Illinois,Illinois,1040,475,565,0,0,0,2,4,0,3,9,22.0,3.0,0.2,139.0,139.0,87.0,60.0,50.0,55.0,112.0,139.0,4,0.03156610245678186,6.906792830749041,0.7277486910994765,0.3936651583710407,0.5,0.7277486910994765,0.4090909090909091,0.06474820143884892,0.0,0.0
Ski Snowstar Winter Sports Park,Illinois,Illinois,790,262,528,0,0,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,35.0,86.0,28.0,4,0.03156610245678186,6.906792830749041,0.14659685863874344,0.25339366515837103,0.16666666666666666,0.14659685863874344,0.4,0.21428571428571427,0.0,0.0
Villa Olivia,Illinois,Illinois,500,180,320,0,0,0,1,0,0,6,7,7.0,1.0,0.1,15.0,15.0,,53.0,25.0,40.0,70.0,15.0,4,0.03156610245678186,6.906792830749041,0.07853403141361257,,0.16666666666666666,0.07853403141361257,1.0,0.4666666666666667,0.0,0.0
Paoli Peaks,Indiana,Indiana,900,300,600,0,0,1,1,3,1,2,8,15.0,2.0,0.4,65.0,65.0,75.0,41.0,18.0,45.0,80.0,65.0,2,0.02970788680522722,5.491488193300384,0.3939393939393939,0.47770700636942676,0.5,0.3939393939393939,0.5333333333333333,0.12307692307692308,0.06666666666666667,0.015384615384615385
Perfect North Slopes,Indiana,Indiana,800,400,400,0,0,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,90.0,100.0,2,0.02970788680522722,5.491488193300384,0.6060606060606061,0.5222929936305732,0.5,0.6060606060606061,0.4782608695652174,0.11,0.0,0.0
Mt. Crescent Ski Area,Iowa,Iowa,1500,300,1200,0,0,0,1,0,1,0,2,11.0,1.0,0.2,50.0,50.0,,58.0,30.0,39.0,,50.0,3,0.0950850535804277,5.3311534839088015,0.35714285714285715,,0.2,0.35714285714285715,0.18181818181818182,0.04,0.0,0.0
Seven Oaks,Iowa,Iowa,975,275,800,0,0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,100.0,35.0,3,0.0950850535804277,5.3311534839088015,0.25,1.0,0.4,0.25,0.36363636363636365,0.11428571428571428,0.0,0.0
Sundown Mountain,Iowa,Iowa,1059,475,584,0,0,0,1,1,2,2,6,21.0,2.0,0.6,55.0,55.0,,46.0,45.0,46.0,,55.0,3,0.0950850535804277,5.3311534839088015,0.39285714285714285,,0.4,0.39285714285714285,0.2857142857142857,0.10909090909090909,0.0,0.0
Big Squaw Mountain Ski Resort,Maine,Maine,3200,660,1750,0,0,0,0,1,0,0,1,29.0,,0.8,,,67.0,6.0,,30.0,58.0,,9,0.6695372456130432,25.438100621820237,,0.07745664739884393,,,0.034482758620689655,,0.0,
Camden Snow Bowl,Maine,Maine,1080,850,150,0,0,0,0,1,1,1,3,26.0,2.0,1.0,100.0,48.0,68.0,83.0,69.0,43.0,70.0,48.0,9,0.6695372456130432,25.438100621820237,0.03109452736318408,0.07861271676300578,0.11764705882352941,0.12371134020618557,0.11538461538461539,0.03,0.0,0.0
Lost Valley,Maine,Maine,495,240,255,0,0,0,0,0,2,2,4,22.0,2.0,0.3,45.0,45.0,87.0,58.0,50.0,55.0,104.0,45.0,9,0.6695372456130432,25.438100621820237,0.013992537313432836,0.10057803468208093,0.11764705882352941,0.11597938144329897,0.18181818181818182,0.08888888888888889,0.0,0.0
Mt. Abram Ski Resort,Maine,Maine,2250,1150,1050,0,0,0,0,0,2,3,5,54.0,1.0,0.5,640.0,175.0,120.0,59.0,125.0,49.0,120.0,,9,0.6695372456130432,25.438100621820237,0.19900497512437812,0.13872832369942195,0.058823529411764705,,0.09259259259259259,0.0078125,0.0,0.0
New Hermon Mountain,Maine,Maine,450,350,100,0,0,0,0,0,1,2,3,20.0,,1.9,70.0,70.0,102.0,55.0,90.0,32.0,117.0,45.0,9,0.6695372456130432,25.438100621820237,0.021766169154228857,0.11791907514450867,,0.11597938144329897,0.15,0.04285714285714286,0.0,0.0
Shawnee Peak,Maine,Maine,1900,1350,600,0,0,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,75.0,103.0,110.0,9,0.6695372456130432,25.438100621820237,0.07431592039800995,0.11213872832369942,0.17647058823529413,0.28350515463917525,0.13953488372093023,0.02510460251046025,0.0,0.0
Sugarloaf,Maine,Maine,4237,2820,1417,0,0,2,3,1,5,2,13,162.0,4.0,3.5,1240.0,618.0,159.0,68.0,200.0,99.0,155.0,,9,0.6695372456130432,25.438100621820237,0.3855721393034826,0.1838150289017341,0.23529411764705882,,0.08024691358024691,0.010483870967741936,0.012345679012345678,0.0016129032258064516
Sunday River,Maine,Maine,3140,2340,800,1,0,4,5,3,1,1,15,135.0,5.0,3.0,870.0,552.0,165.0,60.0,167.0,105.0,169.0,140.0,9,0.6695372456130432,25.438100621820237,0.27052238805970147,0.1907514450867052,0.29411764705882354,0.36082474226804123,0.1111111111111111,0.017241379310344827,0.02962962962962963,0.004597701149425287
Wisp,Maryland,Maryland,3115,700,2415,0,0,0,2,5,0,5,12,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,79.0,120.0,118.0,1,0.016540736525916026,8.060615831049493,1.0,1.0,1.0,1.0,0.35294117647058826,0.06976744186046512,0.0,0.0
Berkshire East,Massachusetts,Massachusetts,1720,1180,540,0,0,0,2,1,1,2,6,47.0,2.0,2.0,180.0,165.0,120.0,68.0,120.0,68.0,120.0,80.0,11,0.1595936918707181,104.22588592003032,0.15437392795883362,0.17883755588673622,0.1111111111111111,0.137221269296741,0.1276595744680851,0.03333333333333333,0.0,0.0
Blandford Ski Area,Massachusetts,Massachusetts,1685,465,1035,0,0,0,0,0,3,2,5,29.0,2.0,0.5,132.0,70.0,,83.0,50.0,45.0,,70.0,11,0.1595936918707181,104.22588592003032,0.11320754716981132,,0.1111111111111111,0.12006861063464837,0.1724137931034483,0.03787878787878788,0.0,0.0
Blue Hills Ski Area,Massachusetts,Massachusetts,635,309,326,0,0,0,0,0,1,3,4,16.0,1.0,,60.0,60.0,,19.0,,45.0,,,11,0.1595936918707181,104.22588592003032,0.051457975986277875,,0.05555555555555555,,0.25,0.06666666666666667,0.0,0.0
Bousquet Ski Area,Massachusetts,Massachusetts,1875,750,1125,0,0,0,0,0,3,2,5,23.0,1.0,1.0,200.0,98.0,,19.0,83.0,49.0,,100.0,11,0.1595936918707181,104.22588592003032,0.17152658662092624,,0.05555555555555555,0.17152658662092624,0.21739130434782608,0.025,0.0,0.0
Bradford Ski Area,Massachusetts,Massachusetts,1548,248,1300,0,0,0,0,2,0,8,10,15.0,1.0,0.3,48.0,48.0,,71.0,,55.0,,,11,0.1595936918707181,104.22588592003032,0.0411663807890223,,0.05555555555555555,,0.6666666666666666,0.20833333333333334,0.0,0.0
Jiminy Peak,Massachusetts,Massachusetts,2380,1150,1230,0,1,0,2,3,1,2,9,45.0,3.0,2.0,167.0,163.0,121.0,71.0,90.0,81.0,120.0,104.0,11,0.1595936918707181,104.22588592003032,0.1432246998284734,0.18032786885245902,0.16666666666666666,0.1783876500857633,0.2,0.05389221556886228,0.0,0.0
Nashoba Valley,Massachusetts,Massachusetts,440,240,200,0,0,0,0,3,1,7,11,17.0,2.0,0.5,52.0,52.0,112.0,55.0,55.0,58.0,126.0,52.0,11,0.1595936918707181,104.22588592003032,0.044596912521440824,0.16691505216095381,0.1111111111111111,0.08919382504288165,0.6470588235294118,0.21153846153846154,0.0,0.0
Otis Ridge Ski Area,Massachusetts,Massachusetts,1700,400,1300,0,0,0,0,0,1,3,4,11.0,1.0,1.0,60.0,55.0,106.0,73.0,70.0,40.0,106.0,35.0,11,0.1595936918707181,104.22588592003032,0.051457975986277875,0.15797317436661698,0.05555555555555555,0.060034305317324184,0.36363636363636365,0.06666666666666667,0.0,0.0
Ski Butternut,Massachusetts,Massachusetts,1800,1000,800,0,0,0,3,1,1,6,11,22.0,2.0,1.5,110.0,110.0,107.0,56.0,115.0,60.0,110.0,,11,0.1595936918707181,104.22588592003032,0.09433962264150944,0.15946348733233978,0.1111111111111111,,0.5,0.1,0.0,0.0
Wachusett Mountain Ski Area,Massachusetts,Massachusetts,2006,1000,1006,0,0,3,0,1,0,4,8,27.0,2.0,1.5,112.0,112.0,,57.0,100.0,71.0,120.0,104.0,11,0.1595936918707181,104.22588592003032,0.09605488850771869,,0.1111111111111111,0.1783876500857633,0.2962962962962963,0.07142857142857142,0.1111111111111111,0.026785714285714284
Alpine Valley Ski Area,Michigan,Michigan,500,240,126,0,0,0,1,2,5,6,14,25.0,3.0,0.2,100.0,100.0,,57.0,20.0,47.0,,100.0,28,0.28036848830417815,28.951341067477305,0.022696323195642305,,0.047619047619047616,0.051387461459403906,0.56,0.14,0.0,0.0
Apple Mountain,Michigan,Michigan,820,220,600,0,0,0,1,0,0,5,6,12.0,,,80.0,42.0,,58.0,52.0,35.0,,80.0,28,0.28036848830417815,28.951341067477305,0.018157058556513846,,,0.041109969167523124,0.5,0.075,0.0,0.0
Big Powderhorn Mountain,Michigan,Michigan,1800,600,1200,0,0,0,0,0,9,1,10,45.0,2.0,1.0,253.0,228.0,100.0,55.0,214.0,69.0,108.0,,28,0.28036848830417815,28.951341067477305,0.057421697684975036,0.041858518208455424,0.031746031746031744,,0.2222222222222222,0.039525691699604744,0.0,0.0
Bittersweet Ski Area,Michigan,Michigan,850,350,450,0,0,0,1,7,0,4,12,20.0,2.0,0.2,100.0,100.0,80.0,36.0,90.0,48.0,,100.0,28,0.28036848830417815,28.951341067477305,0.022696323195642305,0.033486814566764334,0.031746031746031744,0.051387461459403906,0.6,0.12,0.0,0.0
Big Snow Resort - Blackjack,Michigan,Michigan,850,465,385,0,0,0,0,0,4,2,6,26.0,2.0,1.0,170.0,86.0,95.0,42.0,210.0,65.0,115.0,,28,0.28036848830417815,28.951341067477305,0.03858374943259192,0.03976559229803265,0.031746031746031744,,0.23076923076923078,0.03529411764705882,0.0,0.0
Boyne Highlands,Michigan,Michigan,1290,552,745,0,0,1,3,4,0,2,10,55.0,4.0,1.2,435.0,400.0,97.0,56.0,140.0,98.0,120.0,150.0,28,0.28036848830417815,28.951341067477305,0.09872900590104403,0.04060276266220176,0.06349206349206349,0.07708119218910586,0.18181818181818182,0.022988505747126436,0.01818181818181818,0.0022988505747126436
Caberfae Peaks,Michigan,Michigan,1569,485,1060,0,0,0,1,2,1,1,5,34.0,2.0,1.2,200.0,200.0,118.0,82.0,140.0,49.0,130.0,150.0,28,0.28036848830417815,28.951341067477305,0.04539264639128461,0.0493930514859774,0.031746031746031744,0.07708119218910586,0.14705882352941177,0.025,0.0,0.0
Cannonsburg,Michigan,Michigan,1100,250,850,0,0,0,1,1,1,7,10,21.0,5.0,0.1,100.0,,100.0,54.0,100.0,37.0,100.0,,28,0.28036848830417815,28.951341067477305,0.022696323195642305,0.041858518208455424,0.07936507936507936,,0.47619047619047616,0.1,0.0,0.0
Crystal Mountain,Michigan,Michigan,1132,375,757,0,0,1,3,2,0,2,8,58.0,3.0,0.3,102.0,96.0,120.0,63.0,132.0,64.0,135.0,56.0,28,0.28036848830417815,28.951341067477305,0.02315024965955515,0.05023022185014651,0.047619047619047616,0.02877697841726619,0.13793103448275862,0.0784313725490196,0.017241379310344827,0.00980392156862745
Big Snow Resort - Indianhead Mountain,Michigan,Michigan,1935,638,1297,0,0,0,1,1,5,2,9,32.0,2.0,1.0,240.0,150.0,120.0,60.0,204.0,49.0,120.0,,28,0.28036848830417815,28.951341067477305,0.05447117566954154,0.05023022185014651,0.031746031746031744,,0.28125,0.0375,0.0,0.0
Mont Ripley,Michigan,Michigan,1140,440,700,0,0,0,0,0,2,2,4,25.0,2.0,0.8,112.0,112.0,114.0,83.0,275.0,49.0,100.0,100.0,28,0.28036848830417815,28.951341067477305,0.02541988197911938,0.04771871075763918,0.031746031746031744,0.051387461459403906,0.16,0.03571428571428571,0.0,0.0
